SQL: SELECT ts, scope, rss_kb, thread_count, cpu_total_pct FROM cpu.utilization WHERE scope = 'process' ORDER BY ts DESC LIMIT 200
----
sending ctrl commands via unix socket...
┌──────────────────┬─────────────┬──────────────┬──────────────┬───────────────┐
│ ts               │ scope       │ rss_kb       │ thread_count │ cpu_total_pct │
├──────────────────┼─────────────┼──────────────┼──────────────┼───────────────┤
│ 1784865475655800 │ process     │ 548412       │ 71           │ 2.993571      │
│ 1784865474653652 │ process     │ 545420       │ 71           │ 0             │
│ 1784865473651558 │ process     │ 545420       │ 71           │ 0.99781924    │
│ 1784865472649373 │ process     │ 545420       │ 71           │ 0             │
│ 1784865471647193 │ process     │ 545420       │ 71           │ 17.961157     │
│ 1784865470645030 │ process     │ 483184       │ 71           │ 0.9978694     │
│ 1784865469642895 │ process     │ 483184       │ 71           │ 0             │
│ 1784865468640738 │ process     │ 483184       │ 71           │ 0             │
│ 1784865467638610 │ process     │ 483184       │ 71           │ 0.9977951     │
│ 1784865466636400 │ process     │ 483184       │ 71           │ 0             │
│ 1784865465634318 │ process     │ 483184       │ 71           │ 0             │
│ 1784865464632071 │ process     │ 483184       │ 71           │ 0             │
│ 1784865463629968 │ process     │ 483184       │ 71           │ 0.9975046     │
│ 1784865462627466 │ process     │ 482704       │ 71           │ 0.9977241     │
│ 1784865461625186 │ process     │ 482704       │ 71           │ 0             │
│ 1784865460622961 │ process     │ 482704       │ 71           │ 0             │
│ 1784865459620745 │ process     │ 482704       │ 71           │ 0             │
│ 1784865458618643 │ process     │ 482704       │ 71           │ 0.99782217    │
│ 1784865457616460 │ process     │ 482704       │ 71           │ 0.9978459     │
│ 1784865456614301 │ process     │ 482704       │ 71           │ 0             │
│ 1784865455612204 │ process     │ 482704       │ 71           │ 0             │
└──────────────────┴─────────────┴──────────────┴──────────────┴───────────────┘
